date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2025-01-27,Brazil,Netherlands,2,1,Friendly,Neutral City,Neutral,True
2025-02-03,Germany,Japan,0,3,Friendly,Neutral City,Neutral,True
2025-02-10,France,Belgium,1,1,Friendly,Neutral City,Neutral,True
2025-02-17,Brazil,Mexico,0,1,Friendly,Neutral City,Neutral,True
2025-02-24,England,Brazil,0,2,Friendly,Neutral City,Neutral,True
2025-03-03,Netherlands,Germany,0,0,Friendly,Neutral City,Neutral,True
2025-03-10,Uruguay,Netherlands,1,2,Friendly,Neutral City,Neutral,True
2025-03-17,Spain,Uruguay,0,2,Friendly,Neutral City,Neutral,True
2025-03-24,Spain,USA,0,2,Friendly,Neutral City,Neutral,True
2025-03-31,Argentina,Belgium,2,0,Friendly,Neutral City,Neutral,True
2025-04-07,Croatia,Brazil,0,1,Friendly,Neutral City,Neutral,True
2025-04-14,Italy,Belgium,1,0,Friendly,Neutral City,Neutral,True
2025-04-21,Japan,Morocco,2,2,Friendly,Neutral City,Neutral,True
2025-04-28,Mexico,USA,5,1,Friendly,Neutral City,Neutral,True
2025-05-05,Croatia,Belgium,1,2,Friendly,Neutral City,Neutral,True
2025-05-12,USA,Spain,2,1,Friendly,Neutral City,Neutral,True
2025-05-19,Portugal,Brazil,1,2,Friendly,Neutral City,Neutral,True
2025-05-26,Argentina,Portugal,0,1,Friendly,Neutral City,Neutral,True
2025-06-02,France,Netherlands,2,1,Friendly,Neutral City,Neutral,True
2025-06-09,Japan,Croatia,1,1,Friendly,Neutral City,Neutral,True
2025-06-16,Mexico,France,2,1,Friendly,Neutral City,Neutral,True
2025-06-23,Italy,Mexico,1,2,Friendly,Neutral City,Neutral,True
2025-06-30,Portugal,Argentina,1,1,Friendly,Neutral City,Neutral,True
2025-07-07,Argentina,Portugal,0,0,Friendly,Neutral City,Neutral,True
2025-07-14,Croatia,Mexico,1,0,Friendly,Neutral City,Neutral,True
2025-07-21,Argentina,Japan,2,2,Friendly,Neutral City,Neutral,True
2025-07-28,USA,Brazil,1,1,Friendly,Neutral City,Neutral,True
2025-08-04,Uruguay,USA,3,2,Friendly,Neutral City,Neutral,True
2025-08-11,Morocco,Japan,0,2,Friendly,Neutral City,Neutral,True
2025-08-18,Italy,Mexico,1,0,Friendly,Neutral City,Neutral,True
2025-08-25,Netherlands,Uruguay,1,1,Friendly,Neutral City,Neutral,True
2025-09-01,Netherlands,Belgium,2,3,Friendly,Neutral City,Neutral,True
2025-09-08,Brazil,Germany,1,0,Friendly,Neutral City,Neutral,True
2025-09-15,Netherlands,Japan,0,0,Friendly,Neutral City,Neutral,True
2025-09-22,Uruguay,Brazil,0,1,Friendly,Neutral City,Neutral,True
2025-09-29,Morocco,Belgium,1,0,Friendly,Neutral City,Neutral,True
2025-10-06,Netherlands,France,0,0,Friendly,Neutral City,Neutral,True
2025-10-13,Argentina,Croatia,1,1,Friendly,Neutral City,Neutral,True
2025-10-20,Germany,France,1,1,Friendly,Neutral City,Neutral,True
2025-10-27,Mexico,Belgium,0,1,Friendly,Neutral City,Neutral,True
2025-11-03,USA,Belgium,1,1,Friendly,Neutral City,Neutral,True
2025-11-10,Uruguay,Morocco,1,0,Friendly,Neutral City,Neutral,True
2025-11-17,Morocco,Japan,0,1,Friendly,Neutral City,Neutral,True
2025-11-24,Argentina,Italy,1,0,Friendly,Neutral City,Neutral,True
2025-12-01,France,Uruguay,1,1,Friendly,Neutral City,Neutral,True
2025-12-08,Spain,Uruguay,3,1,Friendly,Neutral City,Neutral,True
2025-12-15,Morocco,England,1,0,Friendly,Neutral City,Neutral,True
2025-12-22,Mexico,Portugal,1,0,Friendly,Neutral City,Neutral,True
2025-12-29,France,Japan,2,2,Friendly,Neutral City,Neutral,True
